Sexo,Idade,Escolaridade,Bairro de Origem,Distrito,Referência,Local de Atendimento,Programa Vinculado,Tipo de Atendimento
Feminino,69,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,53,Ensino Médio Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,50,Ensino Fundamental Incompleto,Bairro dos Funcionários,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,61,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,42,Ensino Fundamental Incompleto,Pimentel,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,23,Ensino Médio Completo,Morro do Tiro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,38,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,49,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,33,Ensino Médio Incompleto,Granja Primor,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,65,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,26,Ensino Médio Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,70,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,32,Ensino Fundamental Incompleto,Granja Primor,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,68,Ensino Fundamental Incompleto,Bairro dos Funcionários,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,42,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,79,Ensino Médio Incompleto,Pimentel,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,23,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,40,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,22,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
femenino,56,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Assistente Social
Feminino,18,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Assistente Social
Feminino,25,Ensino Fundamental Incompleto,MOrro do Tiro,1,CRAS São Pedro,CRAS São Pedro,público Geral,Assistente Social 
Feminino,28,Ensino Médio Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Assistente Social
Feminino,18,Ensino Fundamental Completo,São Pedro,1,Cras São Pedro,Cras São Pedro,Público Geral,Assistente Social
Feminino,19,Ensino Médio Incompleto,São Pedro,1,Cras São Pedro,Cras São Pedro,público Geral,Assistente Social
Feminino,51,Ensino Fundamental Incompleto,São Pedro,1,cras São Pedro,cras São Pedro,Público Geral,Assistente Social
Feminino,55,Ensino Fundamental Completo,São Pedro,1,cras São Pedro,cras São Pedro,público Geral,Assistente Social
Feminino,75,Ensino Médio Completo,Várzea,1,Cras São Pedro,Cras São Pedro,Público Geral,Assistente Social
Feminino,63,Não Escolarizado,Perpétuo,1,cras São Pedro,cras São Pedro,Público Geral,Assistente Social
Feminino,26,Ensino Médio Incompleto,São Pedro,1,cras São Pedro,cras São Pedro,Público Geral,Assistente Social
Masculino,58,Ensino Médio Completo,São Pedro,1,cras São Pedro,cras São Pedro,Público Geral,Assistente Social
Feminino,37,Ensino Fundamental Completo,São Pedro,1,CRas São Pedro,CRas São Pedro,Público Geral,Assistente Social
Masculino,57,Ensino Fundamental Completo,Morro do Tiro,1,cras São Pedro,cras São Pedro,Público Geral,Assistente Social
Masculino,67,Superior Completo,São Pedro,1,cras São Pedro,cras São Pedro,Público Geral,Assistente Social
Masculino,35,Ensino Fundamental Completo,São Pedro,1,cras São Pedro,cras São Pedro,Público Geral,Assistente Social
Feminino,38,Ensino Médio Incompleto,São Pedro,1,cras São Pedro,cras São Pedro,Público Geral,Assistente Social
Feminino,21,Ensino Médio Completo,São Pedro,1,cras São Pedro,cras São Pedro,Público Geral,Assistente Social
Masculino,63,Ensino Fundamental Incompleto,Bairro dos Funcionários,1,cras São Pedro,cras São Pedro,Público Geral,Assistente Social
Feminino,45,Ensino Fundamental Incompleto,Perpétuo,1,cras São Pedro,cras São Pedro,Público Geral,Assistente Social
Feminino,33,Ensino Médio Completo,São Pedro,1,cras São Pedro,cras São Pedro,Público Geral,Assistente Social
Masculino,40,Ensino Fundamental Incompleto,Perpétuo,1,cras São Pedro,cras São Pedro,Público Geral,Assistente Social
Feminino,42,Superior Incompleto,São Pedro,1,cras São Pedro,cras São Pedro,Público Geral,Assistente Social
Feminino,16,Ensino Fundamental Incompleto,São Pedro,1,cras São Pedro,cras São Pedro,Público Geral,Assistente Social
Feminino,20,Ensino Médio Completo,Perpétuo,1,cras São Pedro,cras São Pedro,Público Geral,Assistente Social
Feminino,72,Ensino Fundamental Completo,Perpétuo,1,CRas São Pedro,CRas São Pedro,Público Geral,Assistente Social
